id,galaxy,z,log_mbar,log_mbar_err,re_kpc,re_err,fdm,fdm_err,vc_kms,vc_err
1,U4 38210,0.61,10.99,0.13,8.10,1.53,0.44,0.13,240,48
2,U4 20688,0.63,10.81,0.11,9.57,1.65,0.67,0.13,275,55
3,EGS3 10098,0.66,10.93,0.11,2.95,0.92,0.14,0.12,271,54
4,U3 21388,0.67,10.64,0.18,7.81,1.28,0.70,0.13,205,41
5,EGS4 21351,0.73,10.61,0.14,4.16,1.66,0.06,0.08,159,32
6,GS4 00984,0.73,9.72,0.21,5.25,1.67,0.79,0.14,116,23
7,EGS4 11261,0.75,11.12,0.08,5.02,1.22,0.20,0.10,294,59
8,GS4 13143,0.76,10.33,0.11,5.51,1.26,0.41,0.13,147,29
9,U3 08493,0.79,11.08,0.11,3.79,1.01,0.10,0.11,267,53
10,COS4 05656,0.8,10.61,0.10,4.99,1.39,0.27,0.12,181,36
11,COS4 05925,0.8,10.95,0.15,5.72,1.08,0.36,0.17,257,51
12,U3 03856,0.8,10.62,0.17,7.54,1.55,0.64,0.20,212,42
13,U3 05138,0.81,10.46,0.11,7.60,1.46,0.38,0.16,136,27
14,U4 42393,0.82,11.15,0.10,2.61,0.73,0.08,0.07,335,67
15,GS4 03228,0.82,10.08,0.17,6.79,1.46,0.70,0.13,142,28
16,GS4 32976,0.83,10.70,0.09,7.73,1.45,0.57,0.09,235,47
17,GS3 23200,0.83,10.25,0.18,6.72,1.49,0.63,0.16,127,25
18,COS4 01351,0.85,11.13,0.11,7.52,1.41,0.38,0.09,267,53
19,COS4 06487,0.91,10.91,0.09,4.97,1.50,0.38,0.10,286,57
20,COS3 18434,0.91,10.73,0.10,6.75,1.57,0.50,0.14,232,46
21,U4 19954,0.91,11.21,0.07,8.63,1.28,0.17,0.12,260,52
22,COS3 22796,0.91,10.61,0.19,9.93,1.71,0.53,0.19,152,30
23,U4 13849,0.91,10.88,0.12,6.79,1.35,0.31,0.13,213,43
24,U4 22199,0.91,10.46,0.06,4.93,1.19,0.02,0.04,117,23
25,U3 15226,0.92,10.72,0.10,5.79,1.28,0.28,0.12,182,36
26,GS4 05881,0.99,10.21,0.13,5.71,1.41,0.74,0.11,193,39
27,GS3 30840,1.02,10.51,0.13,5.82,1.64,0.65,0.11,207,41
28,GS4 29973,1.02,9.90,0.20,5.09,1.54,0.74,0.12,135,27
