z,fsigma8,sigma,omega_m_ref,ref_key
0.02,0.428,0.0465,0.3,Huterer2016
0.02,0.398,0.065,0.3,Turnbull2011_Hudson2012
0.02,0.314,0.048,0.266,Davis2010_Hudson2012
0.10,0.370,0.130,0.3,Feix2015
0.15,0.490,0.145,0.31,Howlett2014
0.17,0.510,0.060,0.3,Song2008
0.18,0.360,0.090,0.27,Blake2013_z018
0.38,0.440,0.060,0.27,Blake2013_z038
0.25,0.3512,0.0583,0.25,Samushia2011_z025
0.37,0.4602,0.0378,0.25,Samushia2011_z037
0.32,0.384,0.095,0.274,Sanchez2013
0.59,0.488,0.060,0.307115,Chuang2013
0.44,0.413,0.080,0.27,WiggleZ2012_z044
0.60,0.390,0.063,0.27,WiggleZ2012_z060
0.73,0.437,0.072,0.27,WiggleZ2012_z073
0.60,0.550,0.120,0.3,Pezzotta2016_z060
0.86,0.400,0.110,0.3,Pezzotta2016_z086
1.40,0.482,0.116,0.27,Okumura2015
0.978,0.379,0.176,0.31,Zhao2018_z0978
1.23,0.385,0.099,0.31,Zhao2018_z123
1.526,0.342,0.070,0.31,Zhao2018_z1526
1.944,0.364,0.106,0.31,Zhao2018_z1944
